Match No,Date,Time,Team A,Team B,Venue
1,23/02/2024,19:30:00,MIW,DCW,"M Chinnaswamy Stadium, Bengaluru"
2,24/02/2024,19:30:00,RCBW,UPW,"M Chinnaswamy Stadium, Bengaluru"
3,25/02/2024,19:30:00,GG,MIW,"M Chinnaswamy Stadium, Bengaluru"
4,26/02/2024,19:30:00,UPW,DCW,"M Chinnaswamy Stadium, Bengaluru"
5,27/02/2024,19:30:00,RCBW,GG,"M Chinnaswamy Stadium, Bengaluru"
6,28/02/2024,19:30:00,MIW,UPW,"M Chinnaswamy Stadium, Bengaluru"
7,29/02/2024,19:30:00,RCBW,DCW,"M Chinnaswamy Stadium, Bengaluru"
8,01/03/2024,19:30:00,UPW,GG,"M Chinnaswamy Stadium, Bengaluru"
9,02/03/2024,19:30:00,RCBW,MIW,"M Chinnaswamy Stadium, Bengaluru"
10,03/03/2024,19:30:00,GG,DCW,"M Chinnaswamy Stadium, Bengaluru"
11,04/03/2024,19:30:00,UPW,RCBW,"M Chinnaswamy Stadium, Bengaluru"
12,05/03/2024,19:30:00,DCW,MIW,"Arun Jaitley Stadium, New Delhi"
13,06/03/2024,19:30:00,GG,RCBW,"Arun Jaitley Stadium, New Delhi"
14,07/03/2024,19:30:00,UPW,MIW,"Arun Jaitley Stadium, New Delhi"
15,08/03/2024,19:30:00,DCW,UPW,"Arun Jaitley Stadium, New Delhi"
16,09/03/2024,19:30:00,MIW,GG,"Arun Jaitley Stadium, New Delhi"
17,10/03/2024,19:30:00,DCW,RCBW,"Arun Jaitley Stadium, New Delhi"
18,11/03/2024,19:30:00,GG,UPW,"Arun Jaitley Stadium, New Delhi"
19,12/03/2024,19:30:00,MIW,RCBW,"Arun Jaitley Stadium, New Delhi"
20,13/03/2024,19:30:00,DCW,GG,"Arun Jaitley Stadium, New Delhi"
Eliminator,15/03/2024,19:30:00,TBA,TBA,"Arun Jaitley Stadium, New Delhi"
Final,17/03/2024,19:30:00,TBA,TBA,"Arun Jaitley Stadium, New Delhi"
